,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,转债名称,转债代码,进展,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
30,绝味转债,113529,2019-04-02,绝味食品,603517,食品饮料,119.41,-0.23%,-0.63%,48.59,-1.08%,11,0.90%,40.52,6.22,19.90%,119.92,-0.40%,3月16天,5.78年,3.78年,5.00%,6.00%,10,-0.16%,-0.71%,-0.27%,-3.52%,-3.70%,85.8,89.72,40.44,130.15,-8.30%,46%,<2%,16%,0.79,2.37,-0.59,AA,5.00%,16
31,视源转债,128059,2019-04-02,视源股份,2841,电子,112.66,-0.17%,0.06%,75.88,-0.16%,7,0.70%,75.71,13.76,0.20%,100.22,12.40%,3月16天,5.78年,3.78年,1.90%,1.90%,9.4,0.26%,-0.19%,0.17%,-2.08%,-2.26%,85.8,86.7,26.74,113.44,-0.70%,55%,16%,16%,0.67,0.47,0.88,AA,5.00%,15
32,中鼎转2!,127011,2019-04-04,中鼎股份,887,汽车,107.226,-0.25%,0.08%,9.59,-0.42%,6.8,0.50%,11.79,1.38,-18.70%,81.34,31.80%,3月16天,5.77年,3.77年,10.20%,8.30%,12,1.35%,0.86%,1.26%,-0.77%,-0.97%,87.66,90.23,12.94,103.18,3.90%,41%,23%,17%,0.42,-0.59,1.44,AA+,4.50%,21
33,拓邦转债,128058,2019-04-08,拓邦股份,2139,电子,110.22,-0.09%,-0.23%,5.52,-0.54%,3.4,0.50%,5.54,2.54,-0.40%,99.64,10.60%,3月13天,5.77年,3.77年,10.20%,10.10%,5.7,1.96%,1.27%,1.83%,-1.26%,-1.50%,86.8,93.44,23.39,116.82,-5.70%,59%,9%,16%,0.6,1.42,-0.15,AA,5.00%,36
34,博彦转债,128057,2019-04-02,博彦科技,2649,计算机及应用,105.33,-0.73%,0.65%,9.07,-0.11%,3.8,0.60%,8.81,1.95,3.00%,102.95,2.30%,3月11天,5.76年,3.76年,12.10%,12.40%,5.8,1.97%,1.42%,1.86%,-0.30%,-0.50%,83.04,84.68,31.57,116.24,-9.40%,75%,<2%,16%,0.72,2.24,-0.61,AA-,6.00%,56
35,贵广转债,110052,2019-03-29,贵广网络,600996,传媒娱乐,117.46,0.74%,4.38%,9.94,6.54%,157,8.40%,8.13,2.21,22.30%,122.26,-3.90%,3月11天,5.76年,3.76年,15.40%,18.90%,16,0.23%,-0.34%,0.12%,-3.01%,-3.21%,87.96,92.86,40,132.85,-11.60%,43%,<2%,16%,0.78,3.32,-1.36,AA+,4.50%,33
36,万信转2,123021,2019-03-25,万达信息,300168,计算机及应用,108.648,-0.35%,0.35%,13.12,0.00%,14,1.00%,13.62,3.97,-3.70%,96.33,12.80%,3月8天,5.76年,3.76年,8.30%,8.00%,12,1.52%,0.95%,1.40%,-1.17%,-1.35%,85.88,89.8,22.23,112.03,-3.00%,47%,13%,16%,0.6,0.83,0.38,AA,5.00%,23
37,中信转债,113021,2019-03-19,中信银行,601998,金融,103.7,-0.04%,-0.02%,5.78,-0.17%,57,0.10%,7.45,0.68,-22.40%,77.58,33.70%,3月11天,5.76年,无权,14.10%,11.00%,400,2.50%,1.90%,2.38%,无权,无权,无权,95.58,9.18,104.76,-1.00%,23%,17%,17%,0.32,0.46,0.21,AAA,4.00%,54
38,富祥转债,123020,2019-03-29,富祥股份,300497,医药,108.023,0.43%,0.06%,18.2,0.72%,4.4,1.00%,18.05,3.7,0.80%,100.83,7.10%,3月9天,5.75年,3.75年,10.30%,10.40%,4.2,2.05%,1.40%,1.92%,-0.87%,-1.09%,83.39,87.29,28.65,115.95,-6.80%,64%,8%,16%,0.67,1.54,-0.11,AA-,6.00%,43
39,长城转债,113528,2019-03-20,长城科技,603897,机械装备制造,98.32,-0.23%,1.64%,21.4,2.49%,5.6,0.90%,24.18,2.22,-11.50%,88.5,11.10%,3月9天,5.75年,3.75年,16.60%,14.70%,6.3,3.31%,2.73%,3.20%,1.57%,1.35%,83.38,85.13,21.7,106.83,-8.00%,55%,10%,17%,0.56,1.65,-0.41,AA-,6.00%,34
40,今飞转债,128056,2019-03-22,今飞凯达,2863,汽车,99.797,-0.20%,0.31%,6.15,0.16%,0.4,0.10%,6.78,2.41,-9.30%,90.71,10.00%,3月6天,5.74年,3.74年,15.90%,14.40%,3.7,3.58%,2.90%,3.45%,1.27%,1.02%,79.26,81.07,27.8,108.87,-8.30%,70%,8%,17%,0.64,1.37,-0.02,A+,7.50%,45
41,中天转债,110051,2019-03-22,中天科技,600522,通信互联网,100.91,-0.25%,0.14%,8.85,-0.23%,15,0.40%,10.29,1.39,-14.00%,86.01,17.30%,3月6天,5.74年,3.74年,14.60%,12.60%,39.7,2.23%,1.77%,2.14%,0.73%,0.54%,87.53,89.19,15.03,104.22,-3.20%,64%,13%,16%,0.48,0.91,0.09,AA+,4.50%,38
42,长青转2,128055,2019-04-03,长青股份,2391,石油天然气化工,113.25,-0.66%,-0.06%,7.8,-1.02%,5.6,0.50%,7.41,0.84,5.30%,105.26,7.60%,3月5天,5.74年,3.74年,21.70%,22.90%,9.1,0.35%,-0.13%,0.25%,-2.18%,-2.37%,86.13,87.78,30.01,117.79,-3.90%,42%,11%,16%,0.71,1.19,0.27,AA,5.00%,43
43,中来转债,123019,2019-03-22,中来股份,300393,能源电力,100.741,0.15%,1.63%,17.67,3.64%,12,1.10%,20.41,1.66,-13.40%,86.58,16.40%,3月1天,5.74年,3.74年,23.70%,20.50%,10,3.91%,3.14%,3.75%,1.03%,0.79%,83.73,90.09,19.39,109.48,-8.00%,48%,11%,18%,0.49,1.53,-0.44,AA-,6.00%,54
44,中宠转债,128054,2019-03-14,中宠股份,2891,农业,103.101,-0.18%,0.15%,20.2,-0.05%,0.4,0.20%,22.28,2.52,-9.30%,90.66,13.70%,2月21天,5.71年,3.71年,9.60%,8.70%,1.9,2.06%,1.56%,1.96%,0.21%,0.01%,78.76,77.15,28.59,105.74,-2.50%,48%,14%,16%,0.68,0.2,1.16,A+,7.50%,24
45,尚荣转债,128053,2019-03-07,尚荣医疗,2551,医药,105.703,-0.21%,-0.33%,5.09,-0.78%,4.1,0.50%,4.94,1.53,3.00%,103.04,2.60%,2月19天,5.71年,3.71年,20.90%,21.50%,7.5,1.56%,1.07%,1.47%,-0.47%,-0.66%,86.09,87.75,28.18,115.93,-8.80%,42%,<2%,16%,0.69,2.31,-0.73,AA,5.00%,79
46,维格转债,113527,2019-02-19,维格娜丝,603518,服装纺织,99.13,-0.39%,-0.38%,9.47,-1.56%,2.6,0.40%,10.52,0.7,-10.00%,90.02,10.10%,58天,5.65年,3.65年,31.20%,28.10%,7.5,3.62%,2.96%,3.49%,1.29%,1.08%,86.55,92.14,18.49,110.63,-10.40%,38%,5%,18%,0.49,2.48,-1.22,AA,5.00%,59
47,联泰转债,113526,2019-02-18,联泰环保,603797,城市公用设施,112.37,-0.92%,-1.20%,9.81,-2.78%,1.2,0.30%,8.72,1.89,12.50%,112.5,-0.10%,57天,5.64年,3.64年,13.30%,15.00%,3.9,-0.20%,-0.57%,-0.28%,-2.13%,-2.30%,86.15,84.78,38.83,123.61,-9.10%,49%,<2%,18%,0.76,2.54,-0.78,AA,5.00%,31
48,平银转债,127010,2019-02-18,平安银行,1,金融,115.31,-0.52%,0.32%,12.18,-0.33%,64,0.20%,11.77,0.92,3.50%,103.48,11.40%,53天,5.64年,无权,12.40%,12.90%,260,0.42%,-0.14%,0.31%,无权,无权,无权,95.11,24.11,119.22,-3.30%,30%,13%,16%,0.63,1.22,0.09,AAA,4.00%,51
49,冰轮转债,127009,2019-02-21,冰轮环境,811,机械装备制造,145,-0.46%,-0.13%,9.36,-0.64%,72,9.80%,5.52,2.03,69.60%,169.57,-14.50%,46天,5.62年,3.62年,8.30%,14.10%,5.1,-4.06%,-4.51%,-4.15%,-8.52%,-8.68%,86.45,88.11,87.42,175.53,-17.40%,45%,<2%,17%,0.94,5.26,-2.47,AA,5.00%,32
50,凯龙转债,128052,2019-01-21,凯龙股份,2783,石油天然气化工,167.05,-4.35%,0.36%,12.6,-4.18%,191,33.80%,6.97,2.9,80.80%,180.77,-7.60%,25天,5.55年,3.55年,7.80%,14.20%,3.3,-6.54%,-6.98%,-6.63%,-11.70%,-11.80%,86.92,88.59,97.99,186.58,-10.50%,80%,<2%,17%,0.95,3.34,-1.08,AA,5.00%,33
51,溢利转债,123018,2019-01-23,溢多利,300381,医药,109.228,-0.71%,0.55%,9.67,-0.21%,3.5,0.50%,8.41,1.95,15.00%,114.98,-5.00%,24天,5.55年,3.55年,16.90%,19.40%,6.7,1.00%,0.50%,0.90%,-1.37%,-1.57%,83.77,83.97,41.91,125.88,-13.20%,77%,<2%,17%,0.81,3.46,-1.42,AA-,6.00%,45
52,佳都转债!,110050,2019-01-21,佳都科技,600728,计算机及应用,122.19,-0.29%,0.21%,10.18,-0.10%,24,2.20%,7.89,3.98,29.00%,129.02,-5.30%,23天,5.55年,3.55年,5.30%,6.90%,8.8,-1.22%,-1.67%,-1.31%,-4.33%,-4.52%,86.75,87.66,49.57,137.22,-11.00%,42%,<2%,16%,0.86,3.21,-1.15,AA,5.00%,26
53,海尔转债,110049,2019-01-18,青岛海尔,600690,家电,116.47,0.26%,-0.07%,15.9,0.25%,83,2.40%,14.55,2.52,9.30%,109.28,6.60%,23天,5.55年,3.55年,3.00%,3.20%,30.1,-1.04%,-1.37%,-1.11%,-3.15%,-3.33%,89.58,88.84,30.75,119.58,-2.60%,32%,13%,16%,0.73,1.2,0.3,AAA,4.00%,24
54,台华转债,113525,2019-01-11,台华新材,603055,服装纺织,104.02,-0.46%,2.33%,10.84,3.24%,4.9,0.90%,11.56,2.32,-6.20%,93.77,10.90%,19天,5.54年,3.54年,8.90%,8.40%,5.3,1.91%,1.40%,1.81%,-0.06%,-0.26%,86.77,88.44,21.67,110.11,-5.50%,47%,14%,17%,0.58,1.39,-0.15,AA,5.00%,8
55,奇精转债,113524,2019-01-07,XD奇精机,603677,家电,98.98,0.05%,0.49%,12.33,1.23%,0.6,0.20%,14.56,2.46,-15.30%,84.68,16.90%,18天,5.54年,3.54年,13.80%,11.70%,3.3,3.34%,2.73%,3.22%,1.31%,1.10%,86.81,90.77,15.59,106.36,-6.90%,60%,10%,18%,0.44,1.57,-0.56,AA,5.00%,49
56,光华转债!,128051,2019-01-09,光华科技,2741,汽车,97.35,0.36%,-0.39%,12.02,-0.08%,2.7,1.10%,17.03,3.68,-29.40%,70.58,37.90%,18天,5.54年,3.54年,5.60%,3.90%,2.5,3.29%,2.75%,3.18%,1.91%,1.67%,84.31,84.64,10.52,95.15,2.30%,37%,21%,17%,0.34,-0.62,1.31,AA-,6.00%,20
57,钧达转债,128050,2018-12-27,钧达股份,2865,汽车,100.188,-0.33%,0.41%,19.15,0.16%,2.5,0.80%,21.74,2.79,-11.90%,88.09,13.70%,12天,5.52年,3.52年,13.70%,12.10%,3.2,4.04%,3.27%,3.89%,1.15%,0.91%,84.48,90.6,19.41,110.02,-8.90%,66%,8%,18%,0.49,1.79,-0.67,AA-,6.00%,77
58,伟明转债!,113523,2018-12-26,伟明环保,603568,城市公用设施,110.88,0.09%,-0.01%,19.4,0.10%,1,0.10%,17.47,4.24,11.00%,111.05,-0.20%,12天,5.52年,3.52年,3.70%,4.10%,6.7,0.72%,0.22%,0.62%,-1.79%,-1.98%,86.85,88.53,33.61,122.13,-9.20%,47%,<2%,16%,0.75,2.56,-0.83,AA,5.00%,26
59,福能转债,110048,2018-12-28,福能股份,600483,能源电力,107.86,-0.13%,0.90%,8.14,1.37%,47,1.50%,8.69,1.1,-6.30%,93.67,15.10%,12天,5.52年,3.52年,22.40%,21.00%,28.3,1.08%,0.60%,0.98%,-1.05%,-1.24%,88.41,90.09,19.24,109.33,-1.30%,29%,16%,16%,0.56,0.6,0.54,AA+,4.50%,9
60,华源转债,128049,2018-12-20,华源控股,2787,造纸包装印刷,103.702,-0.47%,0.38%,7.39,-0.14%,2.3,0.60%,7.52,1.55,-1.70%,98.27,5.50%,1.3天,5.49年,3.49年,17.40%,17.10%,4,2.06%,1.53%,1.95%,0.09%,-0.13%,84.29,84.62,29.1,113.72,-8.80%,74%,7%,18%,0.66,2.04,-0.56,AA-,6.00%,61
61,旭升转债!,113522,2018-12-11,旭升股份,603305,汽车,101.9,-0.12%,-0.53%,24.58,-1.60%,4.1,1.00%,29.6,6.81,-17.00%,83.04,22.70%,转股中,5.47年,3.47年,4.30%,3.50%,4.2,3.14%,2.47%,3.00%,0.51%,0.31%,87.06,92.57,12.2,104.77,-2.70%,63%,13%,16%,0.4,0.64,0.19,AA,5.00%,25
62,山鹰转债,110047,2018-12-10,山鹰纸业,600567,造纸包装印刷,106.5,-0.47%,0.47%,3.38,0.00%,19,0.80%,3.34,1.16,1.20%,101.2,5.20%,转股中,5.47年,3.47年,14.80%,15.00%,23,2.01%,1.40%,1.89%,-0.70%,-0.90%,88.61,93.57,22.48,116.05,-8.20%,30%,6%,16%,0.61,2.24,-0.82,AA+,4.50%,63
63,寒锐转债,123017,2018-12-24,寒锐钴业,300618,有色金属,100.51,-0.22%,-0.36%,63.96,-1.30%,5.6,1.30%,81.49,7.28,-21.50%,78.49,28.10%,转股中,5.47年,3.47年,3.60%,2.80%,4.4,1.88%,1.50%,1.81%,0.84%,0.65%,83.98,81.28,15.45,96.72,3.90%,76%,22%,16%,0.45,-0.8,1.73,AA-,6.00%,38
64,圆通转债,110046,2018-12-18,圆通速递,600233,交通运输,120.26,1.57%,0.91%,13.41,3.07%,96,2.20%,10.89,3.38,23.10%,123.14,-2.30%,转股中,5.47年,3.47年,9.60%,11.80%,36.5,-0.73%,-1.24%,-0.83%,-3.93%,-4.14%,88.88,91.35,41.22,132.56,-9.30%,60%,<2%,16%,0.81,2.79,-0.92,AA+,4.50%,34
65,桐昆转债!,113020,2018-12-12,桐昆股份,601233,服装纺织,112.2,-1.38%,1.27%,13.34,-0.15%,55,1.30%,12.51,1.53,6.60%,106.63,5.20%,转股中,5.47年,3.47年,15.60%,16.70%,38,0.15%,-0.29%,0.06%,-2.19%,-2.37%,88.41,89.31,28.83,118.14,-5.00%,48%,11%,16%,0.71,1.61,-0.11,AA+,4.50%,25
66,特发转债,127008,2018-12-25,特发信息,70,通信互联网,219.1,0.27%,-0.43%,12.28,-0.16%,535,144%,5.61,3.39,119%,218.89,0.10%,转股中,4.46年,2.46年,1.80%,4.00%,1.7,-13.20%,-13.50%,-13.20%,-16.70%,-16.80%,90.02,89.98,132.26,222.24,-1.40%,63%,<2%,17%,0.98,1.27,0.71,AA,5.00%,43
67,科森转债!,113521,2018-12-07,科森科技,603626,通信互联网,100.28,0.08%,0.65%,7.93,1.41%,4,0.70%,8.95,1.85,-11.40%,88.6,13.20%,转股中,5.46年,3.46年,18.60%,16.50%,6.1,2.71%,2.18%,2.61%,1.03%,0.81%,87.35,89.16,18.71,107.87,-7.00%,63%,10%,18%,0.52,1.69,-0.53,AA,5.00%,60
68,张行转债,128048,2018-11-29,张家港行,2839,金融,102.573,-0.15%,0.25%,5.67,0.18%,54,2.10%,6.06,1.05,-6.40%,93.56,9.60%,转股中,5.45年,无权,24.40%,22.80%,25,2.05%,1.56%,1.95%,无权,无权,无权,90.36,20.54,110.9,-7.50%,55%,9%,18%,0.55,1.97,-0.71,AA+,4.50%,31
